id,crc,createdAt,faultCode,faultCodeType,faultMessage,firmName,kavachSubSystemId,kavachSubSystemType,messageDate,messageLength,messageSequence,messageTime,moduleId,nmsSystemId,systemVersion,totalFaultCodes
1,009037B8,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19410,00:13:34,1,3,1,1
1,C5C7180E,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19411,00:13:34,2,3,1,1
1,A46C1CDF,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19433,00:13:40,2,3,1,1
1,158F3598,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19434,00:13:40,1,3,1,1
1,EFA12118,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19464,00:14:06,1,3,1,1
1,2AF60EAE,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19465,00:14:06,2,3,1,1
1,A88E53DD,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19474,00:14:12,1,3,1,1
1,6DD97C6B,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19475,00:14:12,2,3,1,1
1,01056A8B,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19538,00:14:38,1,3,1,1
1,C452453D,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19539,00:14:38,2,3,1,1
1,A5F941EC,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19561,00:14:44,2,3,1,1
1,141A68AB,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19562,00:14:44,1,3,1,1
1,BBEDBC14,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19593,00:15:10,2,3,1,1
1,0A0E9553,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19594,00:15:10,1,3,1,1
1,FD1DFB00,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19601,00:15:16,1,3,1,1
1,4CFED247,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19602,00:15:16,2,3,1,1
1,FFBE6CAB,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19672,00:15:42,2,3,1,1
1,3AE9431D,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19673,00:15:42,1,3,1,1
1,CEE0648B,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19695,00:15:48,2,3,1,1
1,8C8866A1,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19696,00:15:48,1,3,1,1
1,9A26FC6B,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19727,00:16:14,1,3,1,1
1,D84EFE41,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19728,00:16:14,2,3,1,1
1,274553F9,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19815,00:16:46,2,3,1,1
1,766F6AD9,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19816,00:16:46,1,3,1,1
1,05A2D4F3,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19841,00:16:52,2,3,1,1
1,B441FDB4,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19842,00:16:52,1,3,1,1
1,25C71091,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19877,00:17:18,2,3,1,1
1,942439D6,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19878,00:17:18,1,3,1,1
1,17ABF041,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19885,00:17:24,1,3,1,1
1,A648D906,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19886,00:17:24,2,3,1,1
1,0B998805,,49,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19913,00:17:37,15,3,1,1
1,107369C9,,49,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19914,00:17:37,14,3,1,1
1,4DABE27A,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19953,00:17:50,1,3,1,1
1,FC48CB3D,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19954,00:17:50,2,3,1,1
1,E553B65E,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19976,00:17:56,2,3,1,1
1,200499E8,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19977,00:17:56,1,3,1,1
1,631EBB7E,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20013,00:18:22,2,3,1,1
1,D2FD9239,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20014,00:18:22,1,3,1,1
1,5085CF4A,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20021,00:18:28,2,3,1,1
1,E166E60D,,79,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20022,00:18:28,1,3,1,1
1,48EDDF5B,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20086,00:18:54,1,3,1,1
1,8DBAF0ED,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20087,00:18:54,2,3,1,1
1,98610FFC,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20109,00:19:00,2,3,1,1
1,298226BB,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20110,00:19:00,1,3,1,1
1,018E22A9,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20145,00:19:26,2,3,1,1
1,B06D0BEE,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20146,00:19:26,1,3,1,1
1,BBEDBC14,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19593,00:15:10,2,3,1,1
1,0A0E9553,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,19594,00:15:10,1,3,1,1
1,EEDDFDDE,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20219,00:19:58,1,3,1,1
1,B656D97B,,80,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20220,00:19:58,2,3,1,1
1,1EA2EC7C,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20243,00:20:04,2,3,1,1
1,4629C8D9,,79,Fault Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20244,00:20:04,1,3,1,1
1,DE317168,,80,Recovery Code,Fault_Type,Kernex,503,Stationary KAVACH,24/08/24,27,20280,00:20:30,2,3,1,1
